protein	scaffold	accession	name
GCA_001047405___contig_1_3	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_4	GCA_001047405___contig_1	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_001047405___contig_1_5	GCA_001047405___contig_1	PF10097.9	Predicted membrane protein (DUF2335)
GCA_001047405___contig_1_6	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_7	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_8	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_9	GCA_001047405___contig_1	K07273	acm; lysozyme
GCA_001047405___contig_1_10	GCA_001047405___contig_1	PF16938.5	Putative phage holin Dp-1
GCA_001047405___contig_1_11	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_12	GCA_001047405___contig_1	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_001047405___contig_1_13	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_14	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_15	GCA_001047405___contig_1	VOG18935	REFSEQ hypothetical protein
GCA_001047405___contig_1_16	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_17	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_18	GCA_001047405___contig_1	PF06605.11	Prophage endopeptidase tail
GCA_001047405___contig_1_19	GCA_001047405___contig_1	VOG01075	REFSEQ hypothetical protein
GCA_001047405___contig_1_20	GCA_001047405___contig_1	VOG04056	REFSEQ hypothetical protein
GCA_001047405___contig_1_21	GCA_001047405___contig_1	VOG21220	REFSEQ phage tape measure protein
GCA_001047405___contig_1_22	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_23	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_24	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_25	GCA_001047405___contig_1	VOG01397	REFSEQ major tail protein
GCA_001047405___contig_1_26	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_27	GCA_001047405___contig_1	VOG03575	REFSEQ hypothetical protein
GCA_001047405___contig_1_28	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_29	GCA_001047405___contig_1	VOG00181	REFSEQ hypothetical protein
GCA_001047405___contig_1_30	GCA_001047405___contig_1	VOG13487	REFSEQ major capsid L
GCA_001047405___contig_1_31	GCA_001047405___contig_1	K06904	K06904; uncharacterized protein
GCA_001047405___contig_1_32	GCA_001047405___contig_1	PF04860.12	Phage portal protein
GCA_001047405___contig_1_33	GCA_001047405___contig_1	PF03354.15	Phage Terminase
GCA_001047405___contig_1_34	GCA_001047405___contig_1	VOG04497	REFSEQ putative terminase small subunit
GCA_001047405___contig_1_35	GCA_001047405___contig_1	VOG00687	REFSEQ terminase small subunit
GCA_001047405___contig_1_36	GCA_001047405___contig_1	VOG00962	REFSEQ hypothetical protein
GCA_001047405___contig_1_37	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_38	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_39	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_40	GCA_001047405___contig_1	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_001047405___contig_1_41	GCA_001047405___contig_1	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
GCA_001047405___contig_1_42	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_43	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_44	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_45	GCA_001047405___contig_1	PF05866.11	Endodeoxyribonuclease RusA
GCA_001047405___contig_1_46	GCA_001047405___contig_1	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_001047405___contig_1_47	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_48	GCA_001047405___contig_1	VOG21431	REFSEQ hypothetical protein
GCA_001047405___contig_1_49	GCA_001047405___contig_1	PF16784.5	Putative HNHc nuclease
GCA_001047405___contig_1_50	GCA_001047405___contig_1	PF04404.12	ERF superfamily
GCA_001047405___contig_1_51	GCA_001047405___contig_1	VOG11084	REFSEQ hypothetical protein
GCA_001047405___contig_1_52	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_53	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_54	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_55	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_56	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_57	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_58	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_59	GCA_001047405___contig_1	K07741	antB; anti-repressor protein
GCA_001047405___contig_1_60	GCA_001047405___contig_1	VOG14084	REFSEQ hypothetical protein
GCA_001047405___contig_1_61	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_62	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_63	GCA_001047405___contig_1	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
GCA_001047405___contig_1_64	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_65	GCA_001047405___contig_1	VOG20253	REFSEQ hypothetical protein
GCA_001047405___contig_1_66	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_67	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_68	GCA_001047405___contig_1	PF09669.10	Phage regulatory protein Rha (Phage_pRha)
GCA_001047405___contig_1_69	GCA_001047405___contig_1	None	hypothetical protein
GCA_001047405___contig_1_70	GCA_001047405___contig_1	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1369	GCA_000270185___contig_1_fragment_12	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_000270185___contig_1_fragment_12_1370	GCA_000270185___contig_1_fragment_12	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_000270185___contig_1_fragment_12_1371	GCA_000270185___contig_1_fragment_12	PF16938.5	Putative phage holin Dp-1
GCA_000270185___contig_1_fragment_12_1372	GCA_000270185___contig_1_fragment_12	PF10779.9	Haemolysin XhlA
GCA_000270185___contig_1_fragment_12_1373	GCA_000270185___contig_1_fragment_12	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_000270185___contig_1_fragment_12_1374	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1375	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1376	GCA_000270185___contig_1_fragment_12	VOG18935	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1377	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1378	GCA_000270185___contig_1_fragment_12	VOG00452	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1379	GCA_000270185___contig_1_fragment_12	VOG01075	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1380	GCA_000270185___contig_1_fragment_12	VOG00183	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1381	GCA_000270185___contig_1_fragment_12	VOG21220	REFSEQ phage tape measure protein
GCA_000270185___contig_1_fragment_12_1382	GCA_000270185___contig_1_fragment_12	VOG10276	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1383	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1384	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1385	GCA_000270185___contig_1_fragment_12	VOG01483	REFSEQ major tail protein
GCA_000270185___contig_1_fragment_12_1386	GCA_000270185___contig_1_fragment_12	VOG00870	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1387	GCA_000270185___contig_1_fragment_12	PF11114.8	Minor capsid protein
GCA_000270185___contig_1_fragment_12_1388	GCA_000270185___contig_1_fragment_12	VOG04818	sp|Q04769|YG35_BPLLH Uncharacterized protein ORF5
GCA_000270185___contig_1_fragment_12_1389	GCA_000270185___contig_1_fragment_12	VOG00918	sp|Q04768|YG34_BPLLH Uncharacterized protein ORF4
GCA_000270185___contig_1_fragment_12_1390	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1391	GCA_000270185___contig_1_fragment_12	VOG00241	sp|P19727|CAPSB_BPT7 Minor capsid protein
GCA_000270185___contig_1_fragment_12_1392	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1393	GCA_000270185___contig_1_fragment_12	PF06810.11	Phage minor structural protein GP20
GCA_000270185___contig_1_fragment_12_1394	GCA_000270185___contig_1_fragment_12	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
GCA_000270185___contig_1_fragment_12_1395	GCA_000270185___contig_1_fragment_12	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
GCA_000270185___contig_1_fragment_12_1396	GCA_000270185___contig_1_fragment_12	VOG00639	REFSEQ portal protein
GCA_000270185___contig_1_fragment_12_1397	GCA_000270185___contig_1_fragment_12	PF17288.2	Terminase RNAseH like domain
GCA_000270185___contig_1_fragment_12_1398	GCA_000270185___contig_1_fragment_12	K06909	xtmB; phage terminase large subunit
GCA_000270185___contig_1_fragment_12_1399	GCA_000270185___contig_1_fragment_12	K06909	xtmB; phage terminase large subunit
GCA_000270185___contig_1_fragment_12_1400	GCA_000270185___contig_1_fragment_12	K07474	xtmA; phage terminase small subunit
GCA_000270185___contig_1_fragment_12_1401	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1402	GCA_000270185___contig_1_fragment_12	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_000270185___contig_1_fragment_12_1403	GCA_000270185___contig_1_fragment_12	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
GCA_000270185___contig_1_fragment_12_1404	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1405	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1406	GCA_000270185___contig_1_fragment_12	VOG10295	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1407	GCA_000270185___contig_1_fragment_12	VOG10294	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_12_1408	GCA_000270185___contig_1_fragment_12	PF05866.11	Endodeoxyribonuclease RusA
GCA_000270185___contig_1_fragment_12_1409	GCA_000270185___contig_1_fragment_12	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_000270185___contig_1_fragment_12_1410	GCA_000270185___contig_1_fragment_12	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_000270185___contig_1_fragment_12_1411	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1412	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1413	GCA_000270185___contig_1_fragment_12	PF16784.5	Putative HNHc nuclease
GCA_000270185___contig_1_fragment_12_1414	GCA_000270185___contig_1_fragment_12	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
GCA_000270185___contig_1_fragment_12_1415	GCA_000270185___contig_1_fragment_12	PF03837.14	RecT family
GCA_000270185___contig_1_fragment_12_1416	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1417	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1418	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1419	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1420	GCA_000270185___contig_1_fragment_12	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
GCA_000270185___contig_1_fragment_12_1421	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1422	GCA_000270185___contig_1_fragment_12	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
GCA_000270185___contig_1_fragment_12_1423	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1424	GCA_000270185___contig_1_fragment_12	None	hypothetical protein
GCA_000270185___contig_1_fragment_12_1425	GCA_000270185___contig_1_fragment_12	VOG18091	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_13_1444	GCA_000270185___contig_1_fragment_13	PF05382.13	Bacteriophage peptidoglycan hydrolase
GCA_000270185___contig_1_fragment_13_1445	GCA_000270185___contig_1_fragment_13	PF16938.5	Putative phage holin Dp-1
GCA_000270185___contig_1_fragment_13_1446	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1447	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1448	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1449	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1450	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1451	GCA_000270185___contig_1_fragment_13	VOG13479	REFSEQ gp067
GCA_000270185___contig_1_fragment_13_1452	GCA_000270185___contig_1_fragment_13	VOG21997	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_13_1453	GCA_000270185___contig_1_fragment_13	VOG00824	REFSEQ putative antireceptor
GCA_000270185___contig_1_fragment_13_1454	GCA_000270185___contig_1_fragment_13	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
GCA_000270185___contig_1_fragment_13_1455	GCA_000270185___contig_1_fragment_13	VOG02632	REFSEQ gp14
GCA_000270185___contig_1_fragment_13_1456	GCA_000270185___contig_1_fragment_13	VOG01394	REFSEQ hypothetical protein
GCA_000270185___contig_1_fragment_13_1457	GCA_000270185___contig_1_fragment_13	PF12363.8	"Phage tail assembly chaperone protein, TAC"
GCA_000270185___contig_1_fragment_13_1458	GCA_000270185___contig_1_fragment_13	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
GCA_000270185___contig_1_fragment_13_1459	GCA_000270185___contig_1_fragment_13	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
GCA_000270185___contig_1_fragment_13_1460	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1461	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1462	GCA_000270185___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
GCA_000270185___contig_1_fragment_13_1463	GCA_000270185___contig_1_fragment_13	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_000270185___contig_1_fragment_13_1464	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1465	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1466	GCA_000270185___contig_1_fragment_13	VOG00459	REFSEQ putative CI-like transcriptional repressor
GCA_000270185___contig_1_fragment_13_1467	GCA_000270185___contig_1_fragment_13	None	hypothetical protein
GCA_000270185___contig_1_fragment_13_1468	GCA_000270185___contig_1_fragment_13	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
GCA_000270185___contig_1_fragment_13_1469	GCA_000270185___contig_1_fragment_13	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
GCA_001047405___contig_3_fragment_7_804	GCA_001047405___contig_3_fragment_7	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_001047405___contig_3_fragment_7_805	GCA_001047405___contig_3_fragment_7	PF10097.9	Predicted membrane protein (DUF2335)
GCA_001047405___contig_3_fragment_7_806	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_807	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_808	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_809	GCA_001047405___contig_3_fragment_7	K07273	acm; lysozyme
GCA_001047405___contig_3_fragment_7_810	GCA_001047405___contig_3_fragment_7	PF16938.5	Putative phage holin Dp-1
GCA_001047405___contig_3_fragment_7_811	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_812	GCA_001047405___contig_3_fragment_7	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_001047405___contig_3_fragment_7_813	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_814	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_815	GCA_001047405___contig_3_fragment_7	VOG18935	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_816	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_817	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_818	GCA_001047405___contig_3_fragment_7	PF06605.11	Prophage endopeptidase tail
GCA_001047405___contig_3_fragment_7_819	GCA_001047405___contig_3_fragment_7	VOG01075	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_820	GCA_001047405___contig_3_fragment_7	VOG04056	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_821	GCA_001047405___contig_3_fragment_7	VOG21220	REFSEQ phage tape measure protein
GCA_001047405___contig_3_fragment_7_822	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_823	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_824	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_825	GCA_001047405___contig_3_fragment_7	VOG01397	REFSEQ major tail protein
GCA_001047405___contig_3_fragment_7_826	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_827	GCA_001047405___contig_3_fragment_7	VOG03575	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_828	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_829	GCA_001047405___contig_3_fragment_7	VOG00181	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_830	GCA_001047405___contig_3_fragment_7	VOG13487	REFSEQ major capsid L
GCA_001047405___contig_3_fragment_7_831	GCA_001047405___contig_3_fragment_7	K06904	K06904; uncharacterized protein
GCA_001047405___contig_3_fragment_7_832	GCA_001047405___contig_3_fragment_7	PF04860.12	Phage portal protein
GCA_001047405___contig_3_fragment_7_833	GCA_001047405___contig_3_fragment_7	PF03354.15	Phage Terminase
GCA_001047405___contig_3_fragment_7_834	GCA_001047405___contig_3_fragment_7	VOG04497	REFSEQ putative terminase small subunit
GCA_001047405___contig_3_fragment_7_835	GCA_001047405___contig_3_fragment_7	VOG00687	REFSEQ terminase small subunit
GCA_001047405___contig_3_fragment_7_836	GCA_001047405___contig_3_fragment_7	VOG00962	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_837	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_838	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_839	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_840	GCA_001047405___contig_3_fragment_7	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_001047405___contig_3_fragment_7_841	GCA_001047405___contig_3_fragment_7	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
GCA_001047405___contig_3_fragment_7_842	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_843	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_844	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_845	GCA_001047405___contig_3_fragment_7	PF05866.11	Endodeoxyribonuclease RusA
GCA_001047405___contig_3_fragment_7_846	GCA_001047405___contig_3_fragment_7	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_001047405___contig_3_fragment_7_847	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_848	GCA_001047405___contig_3_fragment_7	VOG21431	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_849	GCA_001047405___contig_3_fragment_7	PF16784.5	Putative HNHc nuclease
GCA_001047405___contig_3_fragment_7_850	GCA_001047405___contig_3_fragment_7	PF04404.12	ERF superfamily
GCA_001047405___contig_3_fragment_7_851	GCA_001047405___contig_3_fragment_7	VOG11084	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_852	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_853	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_854	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_855	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_856	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_857	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_858	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_859	GCA_001047405___contig_3_fragment_7	K07741	antB; anti-repressor protein
GCA_001047405___contig_3_fragment_7_860	GCA_001047405___contig_3_fragment_7	VOG14084	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_861	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_862	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_863	GCA_001047405___contig_3_fragment_7	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
GCA_001047405___contig_3_fragment_7_864	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_865	GCA_001047405___contig_3_fragment_7	VOG20253	REFSEQ hypothetical protein
GCA_001047405___contig_3_fragment_7_866	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_867	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_868	GCA_001047405___contig_3_fragment_7	PF09669.10	Phage regulatory protein Rha (Phage_pRha)
GCA_001047405___contig_3_fragment_7_869	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_870	GCA_001047405___contig_3_fragment_7	None	hypothetical protein
GCA_001047405___contig_3_fragment_7_871	GCA_001047405___contig_3_fragment_7	K22300	"dicA; HTH-type transcriptional regulator, cell division transcriptional repressor"
GCA_001047405___contig_3_fragment_7_872	GCA_001047405___contig_3_fragment_7	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
GCA_001047405___contig_3_fragment_7_873	GCA_001047405___contig_3_fragment_7	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
GCA_025728615___contig_3_fragment_1_1	GCA_025728615___contig_3_fragment_1	K07273	acm; lysozyme
GCA_025728615___contig_3_fragment_1_2	GCA_025728615___contig_3_fragment_1	PF16938.5	Putative phage holin Dp-1
GCA_025728615___contig_3_fragment_1_3	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_4	GCA_025728615___contig_3_fragment_1	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_025728615___contig_3_fragment_1_5	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_6	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_7	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_8	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_9	GCA_025728615___contig_3_fragment_1	VOG18935	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_10	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_11	GCA_025728615___contig_3_fragment_1	VOG00452	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_12	GCA_025728615___contig_3_fragment_1	VOG01075	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_13	GCA_025728615___contig_3_fragment_1	VOG00183	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_14	GCA_025728615___contig_3_fragment_1	VOG10276	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_15	GCA_025728615___contig_3_fragment_1	VOG01238	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_16	GCA_025728615___contig_3_fragment_1	VOG00045	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_17	GCA_025728615___contig_3_fragment_1	VOG01483	REFSEQ major tail protein
GCA_025728615___contig_3_fragment_1_18	GCA_025728615___contig_3_fragment_1	VOG00870	REFSEQ hypothetical protein
GCA_025728615___contig_3_fragment_1_19	GCA_025728615___contig_3_fragment_1	PF11114.8	Minor capsid protein
GCA_025728615___contig_3_fragment_1_20	GCA_025728615___contig_3_fragment_1	VOG04818	sp|Q04769|YG35_BPLLH Uncharacterized protein ORF5
GCA_025728615___contig_3_fragment_1_21	GCA_025728615___contig_3_fragment_1	VOG00918	sp|Q04768|YG34_BPLLH Uncharacterized protein ORF4
GCA_025728615___contig_3_fragment_1_22	GCA_025728615___contig_3_fragment_1	VOG00241	sp|P19727|CAPSB_BPT7 Minor capsid protein
GCA_025728615___contig_3_fragment_1_23	GCA_025728615___contig_3_fragment_1	PF06810.11	Phage minor structural protein GP20
GCA_025728615___contig_3_fragment_1_24	GCA_025728615___contig_3_fragment_1	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
GCA_025728615___contig_3_fragment_1_25	GCA_025728615___contig_3_fragment_1	VOG00639	REFSEQ portal protein
GCA_025728615___contig_3_fragment_1_26	GCA_025728615___contig_3_fragment_1	K06909	xtmB; phage terminase large subunit
GCA_025728615___contig_3_fragment_1_27	GCA_025728615___contig_3_fragment_1	VOG01694	REFSEQ terminase small subunit
GCA_025728615___contig_3_fragment_1_28	GCA_025728615___contig_3_fragment_1	None	hypothetical protein
GCA_025728615___contig_3_fragment_1_29	GCA_025728615___contig_3_fragment_1	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_025728615___contig_3_fragment_1_30	GCA_025728615___contig_3_fragment_1	VOG19011	REFSEQ hypothetical protein
